Purpose,Perigee_km,Apogee_km,Period_minutes,Type_of_Orbit
Communications,35773.0,35798.0,1436.07,
Communications,35773.0,35798.0,1436.08,
Communications,35778.0,35794.0,1436.08,
Communications,35783.0,35789.0,1436.1,
Communications,35633.0,35796.0,1432.0,
Communications,35595.0,36007.0,1436.08,
Amateur Radio,1440.0,1459.0,114.9,Sun-Synchronous
Communications,35778.0,35793.0,1436.08,
Communications,35777.0,35795.0,1436.1,
Communications,35781.0,35790.0,1436.08,
Communications,35778.0,35794.0,1436.1,
Communications,35773.0,35799.0,1436.08,
Communications (experimental),696.0,764.0,99.4,Sun-Synchronous
Communications (experimental),694.0,850.0,100.3,Sun-Synchronous
Communications/Maritime Tracking,563.0,572.0,97.0,Sun-Synchronous
Communications/Maritime Tracking,604.0,674.0,97.5,Sun-Synchronous
Communications/Maritime Tracking,610.0,694.0,97.8,Sun-Synchronous
Communications/Maritime Tracking,627.0,694.0,98.0,Sun-Synchronous
Communications/Maritime Tracking,594.0,653.0,97.17,Sun-Synchronous
Communications/Maritime Tracking,594.0,669.0,97.99,Sun-Synchronous
Communications,35782.0,35795.0,1436.21,
Communications,35779.0,35790.0,1436.03,
Communications,35778.0,35794.0,1436.08,
Communications,35864.0,35874.0,1440.31,
Communications,35766.0,35805.0,1436.06,
Communications,35778.0,35794.0,1436.09,
Technology Development,410.0,415.0,92.81,Sun-Synchronous
Communications/Research,35771.0,35803.0,1436.12,
Communications,35780.0,35792.0,1436.07,
Communications,35784.0,35789.0,1436.1,
Communications,35778.0,35795.0,1436.11,
Communications,35782.0,35793.0,1436.17,
Communications,35773.0,35801.0,1436.15,
Communications,35776.0,35795.0,1436.08,
Communications,35774.0,35799.0,1436.13,
Communications,35778.0,35797.0,1436.15,
Communications,35780.0,35791.0,1436.08,
Communications,35776.0,35794.0,1436.04,
Communications,35766.0,35807.0,1436.1,
Communications,35772.0,35798.0,1436.03,
Communications,35804.0,35852.0,1438.2,
Communications,35715.0,35780.0,1434.1,
Communications,35776.0,35797.0,1436.12,
Communications,35772.0,35801.0,1436.11,
Communications,35768.0,35804.0,1436.12,
Communications,35770.0,35802.0,1436.1,
Communications,35781.0,35793.0,1436.12,
Communications,35777.0,35795.0,1436.07,
Communications,35770.0,35804.0,1436.07,
Communications,35768.0,35806.0,1436.11,
Communications,35778.0,35794.0,1436.08,
Remote Sensing/Technology Development,984.0,1014.0,105.1,Sun-Synchronous
Communications,35780.0,35791.0,1436.06,
Communications,35834.0,35883.0,1439.76,
Communications,35605.0,35623.0,1427.27,
Communications,35768.0,35805.0,1436.1,
Technology Development,709.0,718.0,99.0,Sun-Synchronous
Technology Development,555.0,579.0,96.01,Sun-Synchronous
Technology Development,554.0,581.0,96.01,Sun-Synchronous
Earth Observation,681.0,703.0,98.6,Sun-Synchronous
Remote Sensing/Technology Development,500.0,521.0,94.8,Sun-Synchronous
Remote Sensing,503.0,507.0,94.7,
Communications,35777.0,35795.0,1436.09,
Communications,35776.0,35797.0,1436.11,
Communications,35769.0,35803.0,1436.07,
Communications,35772.0,35800.0,1436.09,
Space Science,594.0,886.0,99.6,Sun-Synchronous
Communications,35778.0,35794.0,1436.1,
Communications,33066.0,35725.0,1365.61,
Communications,35784.0,35787.0,1436.04,
Technology Development,403.0,813.0,96.85,
Earth Science,702.0,703.0,98.8,Sun-Synchronous
Remote Sensing,501.0,505.0,94.7,Sun-Synchronous
Technology Development,609.0,629.0,97.1,Sun-Synchronous
Space Science,771.0,783.0,100.3,Sun-Synchronous
Technology Development,611.0,631.0,97.1,Sun-Synchronous
Technology Development,500.0,506.0,94.67,Sun-Synchronous
Remote Sensing,618.0,619.0,97.1,Sun-Synchronous
Remote Sensing,632.0,635.0,97.4,Sun-Synchronous
Remote Sensing,624.0,643.0,97.4,Sun-Synchronous
Remote Sensing,622.0,645.0,97.4,Sun-Synchronous
Earth Science,325.0,1486.0,103.11,
Technology Development,538.0,544.0,95.5,
Astrophysics,9999.0,138825.0,3808.92,Deep Highly Eccentric
Communications,35777.0,35797.0,1436.1,
Communications,729.0,748.0,99.6,Sun-Synchronous
Earth Observation,785.0,804.0,98.5,Sun-Synchronous
Earth Observation,784.0,804.0,100.7,Sun-Synchronous
Technology Development,564.0,611.0,96.43,Sun-Synchronous
Communications,35782.0,35788.0,1436.05,
Space Science,484.0,791.0,97.4,Sun-Synchronous
Space Science,594.0,731.0,98.0,Sun-Synchronous
Space Science,594.0,747.0,98.0,Sun-Synchronous
Earth Science,702.0,703.0,98.8,Sun-Synchronous
Navigation/Global Positioning,35768.0,35803.0,1436.05,
Navigation/Global Positioning,35708.0,35864.0,1436.08,
Navigation/Global Positioning,35776.0,35799.0,1436.15,
Navigation/Global Positioning,35774.0,35797.0,1436.05,
Navigation/Global Positioning,35764.0,35809.0,1436.1,
Navigation/Global Positioning,35670.0,35893.0,1435.82,
Navigation/Global Positioning,35775.0,35799.0,1436.11,
Navigation/Global Positioning,35717.0,35817.0,1436.12,
Navigation/Global Positioning,35693.0,37872.0,1435.93,
Navigation/Global Positioning,35708.0,35879.0,1435.1,
Navigation/Global Positioning,21519.0,21545.0,773.39,
Navigation/Global Positioning,21460.0,21595.0,773.19,
Navigation/Global Positioning,21452.0,21603.0,773.21,
Navigation/Global Positioning,21462.0,21591.0,773.1,
Navigation/Global Positioning,21477.0,21574.0,773.1,
Earth Observation/Meteorology/Communications,35783.0,35791.0,1436.1,
Communications,35773.0,35799.0,1436.1,
Communications,35780.0,35794.0,1436.11,
Earth/Space Science,820.0,841.0,101.5,Sun-Synchronous
Remote Sensing,764.0,836.0,100.9,Sun-Synchronous
Remote Sensing,769.0,831.0,100.9,Sun-Synchronous
Remote Sensing,669.0,746.0,98.9,Sun-Synchronous
Remote Sensing,751.0,849.0,100.9,Sun-Synchronous
Remote Sensing,772.0,828.0,100.9,Sun-Synchronous
Remote Sensing/Imaging,622.0,623.0,97.2,Sun-Synchronous
Earth Observation,622.0,623.0,97.2,Sun-Synchronous
Earth Observation,622.0,623.0,97.2,Sun-Synchronous
Earth Observation,622.0,623.0,97.2,Sun-Synchronous
Earth Observation,713.0,724.0,99.2,
Technology Development,630.0,653.0,97.55,Sun-Synchronous
Technology Development,594.0,715.0,97.8,Sun-Synchronous
Technology Development,815.0,830.0,101.3,Sun-Synchronous
Technology Development,678.0,703.0,98.6,Sun-Synchronous
Technology Development,443.0,886.0,98.0,
Technology Development,326.0,1465.0,102.89,
Technology Development,814.0,829.0,101.3,Sun-Synchronous
Technology Development,609.0,628.0,97.1,Sun-Synchronous
Technology Development,326.0,1475.0,103.0,
Earth Observation,661.0,662.0,98.0,Sun-Synchronous
Technology Development,598.0,616.0,96.8,Sun-Synchronous
Technology Development,594.0,780.0,98.5,Sun-Synchronous
Communications,35785.0,35788.0,1436.1,
Communications,35786.0,35786.0,1436.1,
Communications,35785.0,35786.0,1436.04,
Communications,35778.0,35795.0,1436.1,
Communications,35780.0,35792.0,1436.09,
Communications,35773.0,35799.0,1436.08,
Communications,35774.0,35797.0,1436.1,
Communications,35777.0,35796.0,1436.1,
Communications,35774.0,35798.0,1436.1,
Earth Science,712.0,732.0,99.2,Sun-Synchronous
Earth Science/Meteorology,845.0,855.0,101.93,Sun-Synchronous
Earth Science/Meteorology,842.0,855.0,101.9,Sun-Synchronous
Earth Science/Meteorology,837.0,851.0,101.8,Sun-Synchronous
Earth Science/Meteorology,843.0,852.0,101.87,Sun-Synchronous
Earth Science/Meteorology,842.0,855.0,101.89,Sun-Synchronous
Earth Science/Meteorology,842.0,859.0,101.94,Sun-Synchronous
Technology Development,559.0,582.0,96.08,Sun-Synchronous
Technology Development,594.0,815.0,98.8,Sun-Synchronous
Technology Development,594.0,815.0,98.8,Sun-Synchronous
Technology Development,35775.0,35799.0,1436.12,
Communications,35771.0,35802.0,1436.12,
Communications,35760.0,35814.0,1436.1,
Communications,35757.0,35817.0,1436.1,
Communications,35706.0,35868.0,1436.13,
Communications,35774.0,35799.0,1436.12,
Communications,35718.0,35855.0,1436.1,
Communications,35756.0,35817.0,1436.11,
Communications,35784.0,35784.0,1436.1,
Early Warning,35780.0,35800.0,1436.27,
Early Warning,35897.0,35909.0,142.08,
Early Warning,35765.0,35810.0,1436.14,
Early Warning,35741.0,35832.0,1436.12,
Earth Observation,662.0,680.0,98.2,Sun-Synchronous
Earth Observation,585.0,603.0,96.56,Sun-Synchronous
Technology Development,596.0,639.0,97.0,Sun-Synchronous
Communications,35776.0,35795.0,1436.07,
Communications,35780.0,35792.0,1436.0,
Communications,35778.0,35793.0,1436.1,
Communications,35782.0,35791.0,1436.11,
Communications,35785.0,35789.0,1436.11,
Communications,35789.0,35803.0,1436.57,
Communications,35776.0,35796.0,1436.06,
Communications,35781.0,35794.0,1436.13,
Communications,35783.0,35790.0,1436.11,
Communications,35775.0,35798.0,1436.12,
Communications,35782.0,35789.0,1436.07,
Communications,35783.0,35789.0,1436.1,
Communications,35775.0,35797.0,1436.08,
Communications,35773.0,35799.0,1436.1,
Technology Development,639.0,694.0,98.1,Sun-Synchronous
Meteorology,35323.0,35750.0,1423.35,
Electronic Intelligence/Technology Development,675.0,692.0,98.43,Polar
Electronic Intelligence/Technology Development,677.0,692.0,98.46,Polar
Electronic Intelligence/Technology Development,675.0,692.0,98.43,Polar
Electronic Intelligence/Technology Development,677.0,692.0,98.45,Polar
Earth Observation/Research,678.0,690.0,98.4,Sun-Synchronous
Earth Science,702.0,703.0,98.8,Sun-Synchronous
Remote Sensing,702.0,703.0,98.8,Sun-Synchronous
Earth Observation,701.0,704.0,98.8,Sun-Synchronous
Remote Sensing,530.0,547.0,95.4,Sun-Synchronous
Remote Sensing,508.0,514.0,94.8,Sun-Synchronous
Technology Development,306.0,1313.0,101.08,
Technology Development,658.0,671.0,98.03,Sun-Synchronous
Communications,35761.0,35810.0,1436.06,
Communications,35776.0,35796.0,1436.09,
Communications,35781.0,35822.0,1436.09,
Communications,35768.0,35805.0,1436.1,
Communications,35779.0,35795.0,1436.12,
Communications,35762.0,35810.0,1436.1,
Communications,35754.0,35817.0,1436.06,
Communications,35772.0,35799.0,1436.1,
Communications,35770.0,35802.0,1436.09,
Communications,35725.0,35767.0,1434.03,
Communications,35780.0,35790.0,1436.04,
Communications,35788.0,35794.0,1436.1,
Communications,35781.0,35790.0,1436.06,
Communications,35766.0,35806.0,1436.08,
Communications,35786.0,35787.0,1436.09,
Communications,35778.0,35793.0,1436.08,
Communications,35766.0,35806.0,1436.07,
Communications,35784.0,35794.0,1436.21,
Communications,35757.0,35815.0,1436.07,
Communications,35777.0,35797.0,1436.12,
Communications,35769.0,35805.0,1436.08,
Communications,35774.0,35799.0,1436.09,
Communications,35780.0,35800.0,1436.28,
Communications,35769.0,35802.0,1436.07,
Communications,35766.0,35806.0,1436.1,
Communications,35775.0,35799.0,1436.1,
Communications,35756.0,35815.0,1436.06,
Communications,35759.0,35812.0,1436.06,
Communications,35786.0,35787.0,1436.09,
Communications,35714.0,35856.0,1436.01,
Maritime Tracking,806.0,821.0,101.2,Sun-Synchronous
Communications,35781.0,35790.0,1436.06,
Communications,35783.0,35790.0,1436.11,
Communications,35774.0,35798.0,1436.1,
Communications,35785.0,35788.0,1436.1,
Communications,35777.0,35795.0,1436.1,
Communications,35782.0,35791.0,1436.1,
Communications,35987.0,35995.0,1446.57,
Communications,35420.0,35940.0,1430.6,
Technology Development,538.0,540.0,95.4,
Technology Development,627.0,654.0,97.54,Sun-Synchronous
Technology Development,488.0,500.0,94.49,
Technology Development,488.0,500.0,94.49,
Earth Science,35777.0,35791.0,1436.0,
Earth Science,35767.0,35803.0,1436.04,
Earth Science,35760.0,35816.0,1436.19,
Earth Science,820.0,835.0,101.5,Sun-Synchronous
Earth Science,827.0,828.0,101.5,Sun-Synchronous
Earth Science,827.0,828.0,101.45,
Astrophysics,537.0,556.0,95.6,
Reconnaissance,1101.0,1107.0,107.35,
Reconnaissance,1068.0,1107.0,107.0,
Reconnaissance,1066.0,1081.0,106.7,
Space Science,443.0,886.0,98.0,
Space Science,443.0,886.0,98.0,
Earth Science,500.0,506.0,94.68,
Communications,35745.0,35829.0,1436.13,
Remote Sensing,890.0,893.0,102.8,Sun-Synchronous
Earth Observation,790.0,823.0,101.0,Intermediate
Communications,594.0,683.0,97.4,
Communications,35785.0,35795.0,1436.11,
Communications,35775.0,35796.0,1436.07,
Communications,35781.0,35790.0,1436.07,
Communications,35776.0,35795.0,1436.07,
Communications,35776.0,35795.0,1436.07,
Communications,35775.0,35798.0,1436.1,
Communications,35774.0,35799.0,1436.1,
Communications,35774.0,35798.0,1436.1,
Communications,35776.0,35796.0,1436.1,
Communications,35771.0,35801.0,1436.08,
Communications,35778.0,35795.0,1436.11,
Communications,35776.0,35794.0,1436.06,
Communications,35775.0,35798.0,1436.1,
Communications,35784.0,35788.0,1436.11,
Navigation/Global Positioning,23242.0,23307.0,846.98,
Navigation/Global Positioning,23240.0,23306.0,846.88,
Navigation/Global Positioning,23214.0,23233.0,844.76,
Navigation/Global Positioning,23217.0,23227.0,844.69,
Remote Sensing,630.0,654.0,97.56,
Communications,35782.0,35790.0,1436.1,
Communications,35774.0,35801.0,1436.16,
Technology Development,593.0,819.0,98.9,Sun-Synchronous
Technology Development,522.0,569.0,95.6,
Technology Development,508.0,586.0,95.6,
Remote Sensing,671.0,686.0,98.3,Sun-Synchronous
Space Physics,3905.0,104552.0,2474.83,Deep Highly Eccentric
Earth Science,701.0,704.0,98.8,Sun-Synchronous
Communications,1407.0,1412.0,114.0,Intermediate
Communications,1413.0,1415.0,114.1,Intermediate
Communications,1406.0,1422.0,114.1,Intermediate
Communications,1412.0,1415.0,114.1,Intermediate
Communications,1412.0,1415.0,114.1,Intermediate
Communications,1412.0,1416.0,114.1,Intermediate
Communications,900.0,1413.0,114.1,Intermediate
Communications,1477.0,1478.0,114.1,Intermediate
Communications,1411.0,1417.0,114.1,Intermediate
Communications,1411.0,1416.0,114.1,Intermediate
Communications,1415.0,1416.0,114.1,Intermediate
Communications,1412.0,1415.0,114.1,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1413.0,1415.0,114.1,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1411.0,1416.0,114.1,Intermediate
Communications,1412.0,1415.0,114.1,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1411.0,1414.0,114.0,Intermediate
Communications,1411.0,1416.0,114.1,Intermediate
Communications,1412.0,1415.0,114.1,Intermediate
Communications,1412.0,1415.0,114.1,Intermediate
Communications,1412.0,1416.0,114.1,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1413.0,1415.0,114.1,Intermediate
Communications,1413.0,1415.0,114.1,Intermediate
Communications,1412.0,1415.0,114.1,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1412.0,1415.0,114.08,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1412.0,1415.0,114.1,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1413.0,1415.0,114.1,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1412.0,1415.0,114.1,Intermediate
Communications,1459.0,1739.0,118.2,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1413.0,1415.0,114.1,Intermediate
Communications,1413.0,1414.0,114.1,Intermediate
Communications,1360.0,1400.0,113.35,Intermediate
Communications,915.0,927.0,103.44,Intermediate
Communications,1409.0,1418.0,114.08,Intermediate
Communications,918.0,928.0,103.48,Intermediate
Communications,1370.0,1391.0,113.96,Intermediate
Navigation/Global Positioning,19116.0,19146.0,675.78,
Navigation/Global Positioning,19134.0,19141.0,676.1,
Navigation/Global Positioning,19118.0,19125.0,675.39,
Navigation/Global Positioning,19130.0,19130.0,675.75,
Navigation/Global Positioning,19130.0,19130.0,675.75,
Navigation/Global Positioning,19130.0,19130.0,675.75,
Navigation/Global Positioning,19094.0,19171.0,675.83,
Navigation/Global Positioning,19124.0,19133.0,675.67,
Navigation/Global Positioning,19142.0,19378.0,680.91,
Navigation/Global Positioning,18981.0,19126.0,672.7,
Navigation/Global Positioning,19147.0,19365.0,680.75,
Navigation/Global Positioning,19092.0,19141.0,675.2,
Navigation/Global Positioning,19134.0,19145.0,676.1,
Navigation/Global Positioning,19136.0,19141.0,676.07,
Navigation/Global Positioning,19112.0,19142.0,675.62,
Navigation/Global Positioning,18922.0,19135.0,671.71,
Navigation/Global Positioning,19132.0,19419.0,681.53,
Navigation/Global Positioning,19119.0,19146.0,675.85,
Navigation/Global Positioning,19131.0,19133.0,675.81,
Navigation/Global Positioning,18864.0,19130.0,670.47,
Navigation/Global Positioning,19098.0,19129.0,675.08,
Navigation/Global Positioning,19128.0,19135.0,675.81,
Navigation/Global Positioning,18909.0,19123.0,671.2,
Navigation/Global Positioning,19116.0,19380.0,680.43,
Navigation/Global Positioning,19079.0,19175.0,675.61,
Navigation/Global Positioning,19126.0,19158.0,676.2,
Navigation/Global Positioning,19142.0,19204.0,677.46,
Navigation/Global Positioning,19150.0,19199.0,677.5,
Navigation/Global Positioning,19139.0,19212.0,677.54,
Navigation/Global Positioning,19130.0,19162.0,676.38,
Navigation/Global Positioning,19087.0,19173.0,675.73,
Earth Science/Meteorology,35768.0,35801.0,1436.0,
Earth Science/Meteorology,35170.0,35170.0,1436.0,
Earth Science/Meteorology,35786.0,35788.0,1436.14,
Communications,35772.0,35800.0,1436.08,
Earth Observation,669.0,690.0,98.35,Sun-Synchronous
Communications,1398.0,1415.0,113.9,Intermediate
Communications,1405.0,1415.0,114.0,Intermediate
Communications,1408.0,1417.0,114.0,Intermediate
Communications,1497.0,1510.0,116.1,Intermediate
Communications,1478.0,1510.0,115.9,Intermediate
Communications,1482.0,1507.0,115.86,
Communications,1480.0,1511.0,115.9,Intermediate
Communications,1493.0,1508.0,116.0,
Communications,1494.0,1509.0,116.02,
Earth Science,435.0,450.0,93.4,Polar
Earth Science,434.0,451.0,93.4,Polar
Earth Science,668.0,670.0,98.1,Sun-Synchronous
Communications,35777.0,35795.0,1436.07,
Communications,35761.0,35811.0,1436.1,
Communications,35763.0,35810.0,1436.1,
Communications/Technology Development,35776.0,35796.0,1436.07,
Communications,35757.0,35814.0,1436.0,
Communications/Navigation,35782.0,35796.0,1436.23,
Meteorology,782.0,803.0,100.7,
Meteorology,965.0,967.0,104.4,
Communications,601.0,636.0,97.1,Sun-Synchronous
Reconnaissance,681.0,683.0,98.0,Sun-Synchronous
Reconnaissance,679.0,682.0,98.37,Sun-Synchronous
Communications,35769.0,35803.0,1436.08,
Astrophysics,535.0,551.0,95.5,Intermediate
Solar Physics,670.0,696.0,98.4,
Space Science,952.0,1155.0,106.27,
Communications,35764.0,35808.0,1436.08,
Communications,35764.0,35809.0,1436.11,
Communications,35782.0,35786.0,1435.95,
Remote Sensing,628.0,665.0,97.7,Polar
Remote Sensing,621.0,673.0,97.7,Polar
Remote Sensing,489.0,503.0,94.53,
Radar Calibration,499.0,504.0,94.65,
Communications,35777.0,35796.0,1436.1,
Technology Development,650.0,669.0,97.9,Sun-Synchronous
Astrophysics/Planetary Science,555.0,559.0,95.8,Intermediate
Technology Development,590.0,640.0,96.9,Sun-Synchronous
Communications,35770.0,35803.0,1436.07,
Communications,35775.0,35799.0,1436.14,
Technology Development,590.0,639.0,96.9,Sun-Synchronous
Reconnaissance,485.0,491.0,94.36,Sun-Synchronous
Reconnaissance,484.0,492.0,94.37,Sun-Synchronous
Reconnaissance,484.0,492.0,94.37,Sun-Synchronous
Reconnaissance,588.0,591.0,96.47,Sun-Synchronous
Reconnaissance,512.0,514.0,94.89,Sun-Synchronous
Reconnaissance,509.0,514.0,94.85,Sun-Synchronous
Reconnaissance,,,,Sun-Synchronous
Remote Sensing,678.0,680.0,98.3,Sun-Synchronous
Electronic Surveillance,1111.0,37564.0,684.0,Molniya
Electronic Surveillance,1112.0,37580.0,684.0,Molniya
Remote Sensing,620.0,637.0,97.3,Sun-Synchronous
Communications,35764.0,35808.0,1436.08,
Communications,35763.0,35809.0,1436.1,
Communications,35609.0,35642.0,1427.91,
Communications,35769.0,35803.0,1436.07,
Communications,35772.0,35799.0,1436.08,
Communications,35773.0,35800.0,1436.11,
Communications,35775.0,35798.0,1436.1,
Communications,35784.0,35790.0,1436.13,
Meteorology,35780.0,35793.0,1436.1,
Communications,35764.0,35809.0,1436.1,
Meteorology,35782.0,35791.0,1436.09,
Communications/Earth Science,35765.0,35807.0,1436.08,
Communications,35777.0,35796.0,1436.1,
Communications,35760.0,35811.0,1436.08,
Communications,37782.0,37791.0,1436.11,
Space Physics,2284.0,152812.0,4032.86,Deep Highly Eccentric
Communications,35776.0,35796.0,1436.08,
Communications,35783.0,35789.0,1436.08,
Communications,35778.0,35795.0,1436.1,
Communications,35771.0,35800.0,1436.05,
Communications,35776.0,35798.0,1436.12,
Communications,35783.0,35791.0,1436.19,
Communications,35770.0,35804.0,1436.12,
Communications,35775.0,35797.0,1436.09,
Communications,35768.0,35801.0,1436.01,
Communications,35785.0,35788.0,1436.11,
Communications,35780.0,35790.0,1436.03,
Communications,35774.0,35811.0,1436.39,
Communications,35781.0,35792.0,1436.11,
Communications,35781.0,35797.0,1436.21,
Communications,35778.0,35793.0,1436.1,
Communications,35779.0,35794.0,1436.1,
Communications,35774.0,35798.0,1436.09,
Communications,35778.0,35795.0,1436.12,
Communications,35775.0,35797.0,1436.09,
Communications,35775.0,35797.0,1436.08,
Communications,35776.0,35796.0,1436.1,
Communications,35776.0,35795.0,1436.07,
Communications,35774.0,35798.0,1436.08,
Communications,35775.0,35797.0,1436.08,
Communications,35782.0,35792.0,1436.14,
Communications,35775.0,35798.0,1436.12,
Communications,35775.0,35797.0,1436.1,
Communications,35773.0,358802.0,1436.16,
Communications,35782.0,35789.0,1436.07,
Communications,35768.0,35805.0,1436.12,
Communications,35775.0,35796.0,1436.07,
Communications,35770.0,35803.0,1436.1,
Communications,35769.0,35804.0,1436.11,
Communications,35800.0,35892.0,1439.15,
Scientific Research,401.0,422.0,92.8,Intermediate
Space Physics,7000.0,320000.0,0.22,Deep Highly Eccentric
Technology Development,469.0,890.0,98.3,
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,780.0,100.4,Polar
Communications,708.0,711.0,99.0,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,775.0,780.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,780.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,780.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,780.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,780.0,100.4,Polar
Communications,776.0,780.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,747.0,751.0,99.8,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,780.0,100.4,Polar
Communications,776.0,780.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,776.0,780.0,100.4,Polar
Communications,744.0,753.0,99.8,Polar
Communications,777.0,778.0,100.4,Polar
Communications,773.0,782.0,100.4,Polar
Communications,776.0,779.0,100.4,Polar
Communications,745.0,754.0,99.8,Polar
Communications,777.0,778.0,100.4,Polar
Communications,748.0,750.0,99.8,Polar
Space Science,620.0,664.0,97.5,Sun-Synchronous
Navigation,35712.0,35872.0,1436.0,
Remote Sensing,817.0,823.0,101.3,Sun-Synchronous
Technology Development,710.0,721.0,99.1,Sun-Synchronous
Earth Science,1332.0,1344.0,112.4,Intermediate
Communications,35772.0,35801.0,1436.1,
Communications,35784.0,35789.0,1436.11,
Communications,35780.0,35791.0,1436.03,
Communications,35778.0,35794.0,1436.09,
Communications,35788.0,35794.0,1436.1,
Communications,33782.0,37768.0,1435.52,
Communications,35776.0,35797.0,1436.1,
